country,total_2015_2025,avg_share_pct,p1_count_2015_2020,p2_count_2021_2025,p1_share_pct,p2_share_pct,share_delta_pp,p1_rate_per_yr,p2_rate_per_yr,rate_ratio_p2_over_p1,cagr_pct,exp_r2,share_slope_pp_per_yr,share_r2,proj_count_2028,proj_count_2030,proj_share_2028_pct,proj_share_2030_pct
United States,191,38.5,68,123,40.5,28.9,-11.5,11.33,24.6,2.17,14.5,0.79,-3.19,0.62,47.1,61.7,13.0,6.6
China,173,23.2,28,145,16.7,34.1,17.5,4.67,29.0,6.21,57.7,0.98,2.86,0.68,236.6,588.4,46.0,51.8
Europe,64,11.1,21,43,12.5,10.1,-2.4,3.5,8.6,2.46,19.3,0.72,0.06,0.0,20.7,29.5,11.6,11.7
South Korea,38,5.4,8,30,4.8,7.1,2.3,1.33,6.0,4.5,65.8,0.82,0.52,0.24,60.4,166.1,9.5,10.6
Hong Kong,35,4.4,8,27,4.8,6.4,1.6,1.33,5.4,4.05,27.4,0.56,0.69,0.32,17.0,27.6,10.0,11.4
