company,loose_patent_families
Samsung,6323
IBM,5937
Huawei,3295
Siemens,2360
Google,1997
Intel,1895
Qualcomm,1416
TSMC,1363
NVIDIA,1018
Synopsys,852
Cadence,831
Apple,482
Meta,478
Micron,477
SK Hynix,474
Infineon,293
NXP,276
Mentor Graphics,266
Applied Materials,235
AMD,230
ASML,222
MediaTek,210
KLA,202
imec,74
STMicroelectronics,48
Broadcom,14
ARM,5
