method,stage,year,count
graph_neural_networks,design,2026,5
graph_neural_networks,fabrication,2023,2
graph_neural_networks,fabrication,2024,1
graph_neural_networks,in_field,2023,1
graph_neural_networks,in_field,2024,2
graph_neural_networks,in_field,2025,1
graph_neural_networks,in_field,2026,1
graph_neural_networks,packaging,2023,1
graph_neural_networks,packaging,2025,4
graph_neural_networks,packaging,2026,1
graph_neural_networks,transit,2022,1
graph_neural_networks,transit,2024,1
graph_neural_networks,transit,2025,5
graph_neural_networks,transit,2026,1
llm_foundation_models,design,2015,1
llm_foundation_models,design,2016,1
llm_foundation_models,design,2018,1
llm_foundation_models,design,2019,2
llm_foundation_models,design,2020,1
llm_foundation_models,design,2021,1
llm_foundation_models,design,2022,4
llm_foundation_models,design,2023,2
llm_foundation_models,design,2024,4
llm_foundation_models,design,2025,20
llm_foundation_models,design,2026,8
llm_foundation_models,disposal,2025,1
llm_foundation_models,fabrication,2015,1
llm_foundation_models,fabrication,2016,2
llm_foundation_models,fabrication,2018,2
llm_foundation_models,fabrication,2021,1
llm_foundation_models,fabrication,2024,2
llm_foundation_models,fabrication,2025,6
llm_foundation_models,fabrication,2026,4
llm_foundation_models,in_field,2015,1
llm_foundation_models,in_field,2016,1
llm_foundation_models,in_field,2017,1
llm_foundation_models,in_field,2018,2
llm_foundation_models,in_field,2020,2
llm_foundation_models,in_field,2022,3
llm_foundation_models,in_field,2023,2
llm_foundation_models,in_field,2024,1
llm_foundation_models,in_field,2025,3
llm_foundation_models,in_field,2026,5
llm_foundation_models,packaging,2015,1
llm_foundation_models,packaging,2016,1
llm_foundation_models,packaging,2020,1
llm_foundation_models,packaging,2025,2
llm_foundation_models,packaging,2026,3
llm_foundation_models,transit,2025,1
reinforcement_learning,design,2021,1
reinforcement_learning,design,2022,4
reinforcement_learning,design,2023,3
reinforcement_learning,design,2024,4
reinforcement_learning,design,2025,4
reinforcement_learning,design,2026,8
reinforcement_learning,fabrication,2024,2
reinforcement_learning,fabrication,2025,2
reinforcement_learning,in_field,2021,1
reinforcement_learning,in_field,2022,1
reinforcement_learning,in_field,2023,1
reinforcement_learning,in_field,2024,1
reinforcement_learning,in_field,2025,1
reinforcement_learning,in_field,2026,1
reinforcement_learning,packaging,2021,1
reinforcement_learning,packaging,2023,1
reinforcement_learning,packaging,2024,1
reinforcement_learning,packaging,2025,1
reinforcement_learning,transit,2024,1
symbolic_reasoning,design,2016,1
symbolic_reasoning,design,2017,1
symbolic_reasoning,design,2018,4
symbolic_reasoning,design,2019,1
symbolic_reasoning,design,2021,3
symbolic_reasoning,design,2024,1
symbolic_reasoning,design,2026,1
symbolic_reasoning,fabrication,2023,1
symbolic_reasoning,in_field,2022,1
symbolic_reasoning,packaging,2023,2
transfer_learning,design,2023,1
transfer_learning,design,2024,1
transfer_learning,fabrication,2023,1
transfer_learning,fabrication,2024,1
transfer_learning,fabrication,2025,1
transfer_learning,in_field,2022,1
transfer_learning,in_field,2025,1
unspecified_ai,design,2015,141
unspecified_ai,design,2016,171
unspecified_ai,design,2017,148
unspecified_ai,design,2018,158
unspecified_ai,design,2019,136
unspecified_ai,design,2020,140
unspecified_ai,design,2021,145
unspecified_ai,design,2022,171
unspecified_ai,design,2023,204
unspecified_ai,design,2024,189
unspecified_ai,design,2025,249
unspecified_ai,design,2026,161
unspecified_ai,disposal,2016,1
unspecified_ai,disposal,2017,1
unspecified_ai,disposal,2018,2
unspecified_ai,disposal,2020,1
unspecified_ai,disposal,2022,2
unspecified_ai,disposal,2024,1
unspecified_ai,disposal,2026,1
unspecified_ai,fabrication,2015,79
unspecified_ai,fabrication,2016,94
unspecified_ai,fabrication,2017,77
unspecified_ai,fabrication,2018,70
unspecified_ai,fabrication,2019,76
unspecified_ai,fabrication,2020,67
unspecified_ai,fabrication,2021,40
unspecified_ai,fabrication,2022,71
unspecified_ai,fabrication,2023,74
unspecified_ai,fabrication,2024,53
unspecified_ai,fabrication,2025,120
unspecified_ai,fabrication,2026,54
unspecified_ai,in_field,2015,113
unspecified_ai,in_field,2016,103
unspecified_ai,in_field,2017,141
unspecified_ai,in_field,2018,155
unspecified_ai,in_field,2019,124
unspecified_ai,in_field,2020,126
unspecified_ai,in_field,2021,110
unspecified_ai,in_field,2022,119
